Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
Kc Js 0c 7c,5039,10357,3707,718,2422,2607,131,9,10
Kc Qd 7c 4c,6232,11382,3695,673,307,2592,110,5,4
As Ks Qs 3s,2969,6495,2715,523,464,11636,122,8,68
Kc 0c 7d 7c,0,9034,9692,2342,320,2568,967,67,10
As Js Jh 0d,0,9920,10204,2451,1167,259,922,76,1
Ks Qs Js 4c,5565,10619,3735,664,1692,2498,101,4,122
8s 8c 7c 5d,0,9419,10057,2214,1930,256,1030,86,8
Kc 9s 7c 4c,6258,11202,3692,694,357,2676,112,7,2
As Qs Js 7c,5992,10900,3762,697,984,2502,98,4,61
As Ah Kh Qh,0,8698,9533,2319,820,2592,907,59,72
As Qs Js 4s,2934,6497,2728,510,527,11611,107,7,79
As Jh 0c 8c,5961,11319,3871,762,2725,229,126,3,4
As Ah Ks 0s,0,8760,9429,2322,973,2499,883,63,71
As Ah Kh 5c,0,10823,10327,2460,195,231,900,62,2
As Ks Js 4s,2865,6412,2695,524,494,11804,128,3,75
9d 8s 8c 6s,0,9508,9998,2308,1855,230,1027,71,3
As Kh Qs Js,4384,8730,3363,585,5130,2586,135,7,80
0c 7c 5d 4c,5295,10625,3796,669,1755,2722,123,9,6
As Ks Qs Jh,4406,8865,3314,578,5103,2559,119,1,55
Ks Qs Js 4d,5511,10622,3732,721,1616,2575,94,3,126
Ah Ks Kh 3s,0,10501,10390,2419,172,456,991,70,1
As Ks Js 0s,2035,5228,2478,478,2898,10292,89,8,1494
As Ks Kh Qh,0,9977,10175,2374,928,490,964,88,4
Kc 8s 8c 6s,0,10501,10398,2388,250,454,936,68,5
Ah Ks Kh Kd,0,0,0,19023,100,236,4071,1569,1
0c 7c 4s 4c,0,8985,9687,2213,325,2683,1032,70,5
Qc 8s 8c 7c,0,9052,9636,2237,327,2674,998,70,6
As Ks Kh 2c,0,10774,10276,2534,161,243,942,69,1
As Ah Kh 6s,0,10752,10318,2453,98,453,851,73,2
As Ks Qs 9h,6153,10771,3788,717,806,2587,109,9,60
As Ah 0d 8c,0,10601,10488,2530,370,0,940,71,0
Qc Jh 0d 8c,4599,9291,3451,635,6670,240,106,8,0
Ad 8s 8c 7c,0,10574,10426,2400,367,215,926,84,8
Kc Jc 7c 4c,3051,6481,2664,524,208,11946,116,2,8
Kc 0c 7c 6s,5694,10788,3747,732,1199,2711,114,8,7
8s 8c 6s 4s,0,8517,9418,2216,1044,2652,1023,63,67
As Qs Js 3h,5939,10845,3784,647,1036,2567,114,3,65
As Ah Kh 0h,0,8710,9447,2336,856,2599,904,78,70
As Ah Kh 4s,0,10526,10296,2461,183,507,943,80,4
Qc 0c 7c 4c,3002,6649,2729,532,249,11719,108,3,9
As Ah Ks 6h,0,10565,10325,2525,95,494,922,74,0
As Qs Js 0s,1994,4850,2550,487,3261,10131,134,6,1587
8s 7d 7c 6s,0,8964,9800,2141,2736,230,1059,62,8
Jh 0d 8c 3c,6351,11753,3820,720,1957,259,133,7,0
Kc 7c 4c 3c,2969,6359,2814,500,473,11681,133,3,68
As Ks Qs 3c,5877,10902,3793,703,927,2628,103,7,60
Qh 0c 7c 4c,6177,11266,3712,658,463,2578,137,4,5
As Ks Qs 8d,6065,10812,3910,653,820,2537,125,7,71
9s 8s 7c 6s,2691,6523,3020,531,9423,2571,105,7,129
Ah Ks Kh 4h,0,9123,9728,2358,140,2698,887,63,3
0c 8d 7c 4c,5134,10292,3799,685,2419,2543,114,5,9
Jh 0d 8c 2d,6351,11674,3848,789,1973,240,120,5,0
As Ks Js 3d,5927,11028,3681,673,894,2601,127,3,66
Ks Kd Qs Js,0,8167,9189,2301,1688,2482,972,61,140
As Ks Js 3s,2921,6346,2810,527,510,11693,127,2,64
Kc 0c 8c 4c,3101,6431,2655,540,209,11941,106,6,11
Kc 7c 5h 4c,5566,10701,3724,689,1685,2512,111,8,4
8c 7c 6s 5c,2815,6474,2945,496,9557,2465,112,5,131
8c 7c 6s 6d,0,8934,9733,2154,2794,238,1066,76,5
As Ks Js 0h,4158,8703,3368,651,5319,2593,125,10,73
8s 8c 6s 2s,0,9055,9568,2248,323,2643,1082,74,7
Kc 0h 7c 4c,6114,11277,3753,647,446,2650,106,6,1
Kc 0c 7c 2d,6298,11324,3736,643,270,2603,116,6,4
Ah Ks Kh 7s,0,10598,10268,2522,107,470,959,75,1
0d 8c 7c 6s,4543,9319,3410,663,6697,230,129,2,7
As Qs Jh 8c,6421,11866,3754,661,1927,243,118,6,4
Kc 0c 7h 4c,6145,11186,3714,668,466,2698,116,6,1
8s 8c 7c 6h,0,8973,9721,2203,2764,231,1039,60,9
As Qs Js 4d,5890,10909,3753,698,981,2572,116,7,74
As Ks Js Jh,0,8663,9420,2384,871,2584,949,62,67
Ah Ks Kh Jh,0,8696,9367,2266,859,2711,960,68,73
As Ks Qs 7d,5979,10954,3779,720,858,2534,113,6,57
As Ah Ks Qc,0,10205,10078,2432,1039,224,944,78,0
Ks Qs Js 3d,5421,10674,3753,659,1667,2563,118,7,138
Kc 7c 5c 4c,2670,6203,2822,478,868,11703,104,4,148
8c 7h 7c 6s,0,8960,9672,2183,2774,242,1097,64,8
As Ah Ks Kc,0,0,18754,2773,85,248,2992,144,4
As Jh 8c 3d,7347,12434,3960,752,405,0,98,4,0
Ks Qs Qh Js,0,8249,9280,2244,1567,2499,960,58,143
As Ah Ks Jc,0,10229,10141,2451,996,238,880,64,1
Ks Qs Js 5c,5525,10561,3741,697,1657,2571,106,6,136
8s 7c 6s 5h,3105,7215,3053,540,10708,258,110,5,6
Ah Ks Kh 7d,0,10813,10326,2465,106,226,1002,61,1
As Ks Qs 2h,5998,10902,3747,665,978,2540,96,6,68
As Ks Qs 6d,6024,10890,3853,677,862,2501,113,7,73
Kc 0c 6h 4c,6089,11295,3771,722,445,2558,112,5,3
Jh 0d 8c 3s,6532,11750,3861,700,2044,0,109,4,0
8s 8c 7c 4c,0,8689,9384,2225,980,2549,1055,56,62
8s 7c 6s 5s,2729,6574,2848,515,9477,2575,124,8,150
Qs 8s 8c 6s,0,9064,9777,2252,318,2557,955,74,3
Kc 0c 8h 7c,5348,10649,3783,670,1781,2645,116,4,4
Kc 8h 7c 4c,5760,10922,3742,693,1044,2718,109,8,4
Kc Qs 7c 4c,6133,11193,3825,703,302,2693,140,4,7
As Ks Js 8s,2931,6441,2676,508,496,11753,126,4,65
9s 8c 7c 6s,3182,7188,3119,545,10333,500,120,4,9
As Ks Kh 2d,0,10738,10385,2438,207,234,921,74,3
Qd 0c 7c 4c,6215,11129,3770,701,456,2586,132,7,4
Qh 8s 8c 6s,0,10551,10380,2412,389,212,983,68,5
Ah Ks Kh 4s,0,10555,10265,2498,196,479,935,70,2
Ah Ks Kh 2s,0,10721,10161,2425,171,454,1007,61,0
As Ks Qs 2c,5987,10777,3729,717,952,2660,105,8,65
0c 7d 7c 4c,0,8989,9576,2365,313,2624,1054,71,8
As Ks Kh 0s,0,8736,9379,2319,841,2601,996,65,63
Ah Ks Kh 6h,0,9357,9647,2297,82,2600,933,83,1
Ad 8s 7c 6s,5909,11261,3956,711,2786,242,127,6,2
As Ks Kh 5d,0,10598,10408,2563,165,237,961,66,2
As 0d 8c 4h,7254,12485,3878,694,554,0,129,6,0
Kd 8s 8c 6s,0,10611,10361,2500,269,243,940,75,1
Ks Qs Js 7d,5558,10615,3727,687,1583,2563,116,7,144
Ah Ks Kh 7h,0,9298,9593,2339,96,2676,921,72,5
8h 8c 7c 6s,0,8845,9809,2265,2726,243,1031,76,5
0h 8s 8c 6s,0,10035,10175,2272,1207,245,1002,64,0
0c 9h 7c 4c,5391,10643,3705,692,1787,2655,120,4,3
Kc 8d 7c 4c,5859,10830,3709,693,1047,2727,130,2,3
As Qs Js 2d,5786,11048,3760,667,972,2579,124,4,60
As Jh 0d 4h,6706,11960,3965,760,1265,214,124,6,0
As 0d 8c 2d,7187,12442,3855,716,442,241,111,6,0
As Ks Kh 9d,0,10799,10318,2481,88,255,986,71,2
As 0d 8c 7c,6207,11742,3993,692,2002,240,116,5,3
As Jh 8c 5s,7145,12317,3892,714,583,221,119,8,1
As Jh 0d 7s,6450,11657,3884,692,1992,203,116,6,0
0d 8s 7c 6s,4612,9241,3534,631,6647,209,118,6,2
As Ks Qh Js,4366,8797,3292,628,5147,2602,105,2,61
8c 7c 6s 6c,0,7723,9121,2080,2384,2388,1057,70,177
Ks Qs Js 8c,5484,10563,3921,654,1718,2421,114,4,121
Kc 7c 5s 4c,5543,10668,3678,668,1703,2619,111,8,2
Kc 0c 6c 4c,3108,6642,2769,509,241,11609,115,5,2
8s 8c 6s 3s,0,9083,9666,2252,289,2593,1056,56,5
As Ah Kh 8h,0,9309,9630,2379,79,2572,948,83,0
Ks Qs Js 6h,5491,10777,3760,687,1578,2453,132,8,114
Kc 0h 0c 4c,0,9360,9527,2231,164,2728,927,59,4
Ks Qs Js 6c,5508,10659,3771,659,1642,2506,123,5,127
0d 0c 7c 4c,0,8947,9572,2384,338,2625,1059,71,4
Js 0c 7c 4c,5663,10995,3691,728,1158,2621,133,5,6
As Ks Kh 6d,0,10932,10306,2466,71,215,934,76,0
As Ah Ks 9h,0,10738,10255,2456,89,484,922,55,1
As Jh 8c 3h,7326,12334,3895,714,372,251,101,7,0
Kc 0c 4d 4c,0,9262,9550,2318,169,2676,945,77,3
Jh 0d 8c 7d,4912,9533,3577,604,6021,233,113,4,3
As Ks Kh Js,0,8776,9457,2308,817,2547,947,80,68
As Jc 0d 8c,5899,11331,3914,761,2751,226,111,1,6
Kc 0c 9c 7c,2550,5979,2610,524,1301,11680,144,6,206
As Ks Kh 9h,0,10615,10326,2498,89,451,962,57,2
As Ks Js Jc,0,8998,9214,2335,856,2555,910,65,67
As Ks Js 8h,5869,10997,3668,720,918,2614,133,6,75
As Ah Ks 7c,0,10801,10354,2540,94,253,904,53,1
Kc 7c 6h 4c,5463,10679,3698,676,1719,2640,120,3,2
Ks Qs Js 5h,5564,10651,3811,690,1606,2407,134,2,135
9s 8s 8c 7c,0,8890,9634,2212,2709,468,1011,64,12
As Qs Js 6c,5967,10925,3647,673,916,2665,124,5,78
0c 8s 7c 6s,4471,9356,3498,602,6504,434,122,7,6
Kc 7c 4c 3s,5882,10911,3782,729,898,2696,93,7,2
Kc 7c 4c 3d,5931,11006,3645,711,911,2660,127,7,2
As Qs Js Jd,0,8701,9337,2343,959,2581,935,69,75
As Ah Jh 0d,0,9975,10146,2503,1212,245,854,65,0
8c 7c 6s 5s,3128,7231,3048,569,10411,472,123,9,9
As Jh 8c 3s,7230,12478,3828,721,368,238,125,9,3
Kc 0c 8d 4c,6133,11192,3863,709,376,2586,136,4,1
As Kd 0d 8c,6817,12001,3901,730,1173,243,120,10,5
As Ah Kh 2s,0,10594,10326,2505,149,471,873,81,1
0c 7c 4h 4c,0,9154,9509,2246,312,2713,998,63,5
Ks Qs Js 6d,5542,10622,3764,686,1632,2506,114,4,130
As Ks Kh 8d,0,10889,10216,2487,74,297,963,72,2
Kc 0c 8s 4c,6259,11212,3722,704,363,2601,124,8,7
8s 8c 6s 4h,0,10046,10127,2323,1179,230,1022,70,3
As Qs Js 6s,2954,6457,2740,516,487,11669,109,3,65
As Ks Qs 9s,3023,6340,2805,543,472,11626,115,7,69
8s 8c 7c 4s,0,9875,10095,2321,1143,505,996,63,2
As Ks Kh 6h,0,10737,10193,2482,105,460,958,64,1
As Ah Ks 0c,0,10196,10096,2507,1003,226,915,56,1
Ah Ks Kh 2c,0,10800,10365,2333,190,243,1000,67,2
As Ah Kh 5d,0,10744,10339,2516,206,208,910,75,2
As Ks Js 6h,6014,10879,3828,739,830,2535,106,6,63
Ah Ks Kh 9c,0,10843,10342,2480,100,201,962,70,2
As Ks Qs 7c,6063,10945,3665,683,861,2592,123,8,60
As Ks Kh 7c,0,10887,10277,2445,87,246,981,76,1
8s 8c 6s 4c,0,9785,10275,2302,1133,461,968,66,10
0d 8s 8c 6s,0,9948,10196,2351,1162,227,1041,71,4
As Ah Ks 2h,0,10724,10229,2448,167,443,909,78,2
Ad Kc 0c 7c,5833,10893,3840,673,966,2674,101,10,10
Jh 0d 8c 6h,6303,11688,3817,735,2068,245,133,11,0
