Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
Kc 0c 4c 2s,6265,11253,3711,714,338,2602,108,4,5
Kc Qh 7c 4c,6260,11304,3698,712,321,2571,127,2,5
0c 7c 6c 4c,2512,5935,2758,529,1200,11756,116,10,184
Kh Kc 7c 4c,0,9377,9516,2340,149,2622,920,73,3
0s 8s 8c 7c,0,9240,9853,2344,1938,466,1071,84,4
Kc 0c 4c 3c,3059,6538,2774,507,210,11759,142,5,6
As Ah Kh 3c,0,10796,10325,2492,187,232,901,63,4
As Ah Kh 6h,0,9294,9607,2341,90,2695,905,68,0
Qc 8s 8c 6s,0,10306,10386,2449,383,446,962,63,5
Ks Qs Js 3c,5493,10608,3698,745,1632,2595,108,3,118
As 0d 8c 5d,7091,12378,3936,739,512,222,114,8,0
Kc 0s 0c 4c,0,9275,9638,2345,171,2536,955,78,2
Jh Jd 0d 8c,0,9534,9940,2318,1928,260,939,74,7
As Qs Js 8h,5402,10557,3895,729,1666,2572,96,7,76
As Qs Js 9h,5607,10648,3676,693,1672,2504,121,5,74
As Ks Kh 2h,0,10568,10184,2504,184,501,991,68,0
8s 8c 7c 4h,0,9983,10159,2364,1203,214,1014,59,4
Kc 7c 4c 2d,6225,11227,3699,722,229,2777,112,7,2
0c 7c 5s 4c,5444,10470,3799,683,1816,2659,120,4,5
As Ks Qs 0s,2161,5145,2445,475,2883,10193,127,8,1563
8s 8c 7c 5h,0,9497,9938,2271,1972,246,988,83,5
8s 8c 6s 2h,0,10508,10292,2450,389,220,1070,66,5
Kc 0c 7c 4h,6078,11116,3822,676,461,2722,114,4,7
8s 8h 7c 6s,0,8976,9718,2250,2732,229,1015,77,3
As Ah Ks Qs,0,8651,9430,2390,882,2600,916,54,77
Kc 0c 7c 4s,6047,11272,3723,714,445,2683,101,9,6
Ks Jh 0d 8c,6005,11432,3891,710,2832,0,124,6,0
Ad 8s 8c 6s,0,10619,10375,2516,276,223,931,56,4
As Ks Qs 3d,5894,10899,3848,692,946,2545,102,5,69
Ks 8s 8c 6s,0,9151,9600,2298,238,2653,990,65,5
Qc 8c 7c 6s,5127,10238,3769,694,2431,2609,121,4,7
As Ks Kh 0h,0,10222,9851,2502,1008,448,906,60,3
As Jh 0d 8h,5850,11404,3917,694,2757,246,121,8,3
Kd 8s 8c 7c,0,10705,10177,2427,366,231,1036,54,4
As Ah Kh 9d,0,10843,10244,2545,93,255,943,76,1
As 0d 8c 2s,7327,12239,3841,729,499,250,108,5,2
8s 8c 7h 6s,0,8915,9780,2199,2786,231,1032,57,0
As Kd Qs Js,4378,8769,3259,570,5166,2675,115,4,64
Kc 0c 5h 4c,6076,11209,3764,695,484,2628,127,10,7
As Qs Js 2c,5838,10882,3764,691,1024,2608,119,5,69
As Qs Js 8d,5618,10511,3827,688,1622,2526,134,5,69
Kc 0c 6s 4c,6058,11229,3806,660,438,2692,108,6,3
Ks Kc Qs Js,0,8209,9297,2252,1638,2451,951,77,125
As Jh 8c 7c,6812,11927,3953,714,1248,226,106,6,8
As Ah Ks 7s,0,9383,9600,2427,71,2517,933,69,0
Jh 0d 9s 8c,3198,7351,3179,555,10603,0,105,9,0
As Ah Ks Qd,0,10273,10174,2344,931,265,945,65,3
Ah Ks Kh 3d,0,10788,10319,2469,163,232,968,61,0
As Ah Kh 2c,0,10798,10286,2504,156,217,968,67,4
As Qh Jh 0d,4551,9382,3534,576,6601,225,121,7,3
As Ks Js 9h,5901,10893,3761,711,919,2616,109,10,80
Qd Jh 0d 8c,4495,9486,3361,591,6681,241,136,8,1
Kc 0c 7c 4c,3002,6499,2768,490,240,11864,119,6,12
Ah Ks Kh Qs,0,10031,10081,2460,926,472,960,67,3
As Ks Js 8d,5778,11101,3718,695,937,2583,121,4,63
Kc 0c 4c 3d,6140,11337,3734,666,377,2596,134,14,2
Kc 0c 7c 3c,3010,6602,2785,500,177,11797,116,9,4
As Ks Qs 5h,5882,11001,3654,669,942,2651,143,7,51
Kc Js 7c 4c,6227,11291,3619,688,384,2675,115,0,1
Ks Kc 7c 4c,0,9196,9588,2398,163,2664,903,86,2
As Qc 0d 8c,6342,11754,3871,716,1927,250,131,8,1
0c 7c 4c 3h,5675,10967,3802,724,1104,2616,109,2,1
As Ks Kh 7s,0,9311,9718,2368,71,2575,884,72,1
0c 7c 4c 3d,5821,10748,3805,727,1133,2644,113,4,5
As Ah Kh 6c,0,10806,10303,2486,97,255,994,57,2
Qs Jh 0d 8c,4640,9313,3461,654,6818,0,107,7,0
Ks Qs Js 9s,2211,5158,2456,432,2923,10097,117,1,1605
As Ks Qs 2s,3046,6374,2716,578,513,11545,142,6,80
Ad 8c 7c 6s,5850,11465,3948,711,2660,236,121,4,5
8c 7c 6s 2d,5884,11411,3859,679,2800,256,100,4,7
Kc 0c 7c 6h,5696,10983,3747,680,1151,2629,102,5,7
Jh 0h 0d 8c,0,9358,10067,2273,1989,211,1012,83,7
0c 7c 4d 4c,0,9011,9722,2187,310,2680,1020,64,6
As Ks Qs 8c,5949,10938,3808,683,820,2623,106,3,70
As Kh Jh 0d,5013,9602,3473,653,5899,233,118,5,4
As Qs 0d 8c,6343,11618,3978,770,1933,249,105,3,1
Ks Qs Js 3h,5350,10743,3868,719,1587,2488,104,4,137
As 0d 8c 6c,6779,11863,3948,758,1274,257,106,5,10
As Ad Qs Js,0,8605,9529,2396,907,2572,867,66,58
Kd Kc 0c 4c,0,9431,9471,2292,168,2656,897,82,3
As Ah Kh Js,0,10062,10132,2428,963,402,933,77,3
As Ks Jh 8c,6918,12097,3905,683,1092,198,103,4,0
Kc Qc 7c 4c,3191,6597,2773,528,142,11661,99,1,8
Kc Qh 0c 7c,5489,10428,3764,741,1796,2666,106,7,3
Jh 0d 8c 6c,6239,11761,3857,695,2083,231,121,9,4
Ks Qs Js 9d,4287,8692,3334,667,5261,2530,101,4,124
Jh 0d 8c 5s,6519,11546,3930,767,2107,0,126,5,0
Ah Ks Kh Qd,0,10135,10147,2367,1034,246,1010,60,1
Kc Jc 0c 4c,2687,6173,2700,524,928,11765,98,4,121
9h 8c 7c 6s,3131,7284,3076,600,10530,250,115,7,7
