Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
As Ad Ks Kh,0,0,18711,2860,99,259,2931,139,1
Ah Ks Kh 8c,0,11011,10170,2512,86,221,924,72,4
As Jc 0d 8c,5862,11358,3910,707,2763,259,127,12,2
8s 8c 6s 2c,0,10301,10345,2353,355,446,1126,69,5
Kc 7c 4c 2c,3108,6655,2771,526,115,11712,108,3,2
As Ks Qs Qc,0,8771,9377,2338,870,2582,935,60,67
Qd Jh 0d 8c,4543,9350,3553,638,6571,218,112,9,6
As Ah Kh 8c,0,10846,10360,2478,90,243,909,73,1
As 0d 8c 7c,6285,11723,3850,720,2078,230,105,3,6
Kc 7c 6h 4c,5473,10713,3636,701,1679,2674,115,7,2
Kc Qc 0c 4c,2784,6301,2674,557,899,11539,115,7,124
As Kh Qs Js,4337,8775,3311,604,5178,2594,127,7,67
As Ks Kh Jh,0,9920,10128,2510,932,448,984,66,12
9h 8s 8c 6s,0,9494,9912,2223,2001,239,1066,62,3
As Ks Kh 3h,0,10647,10251,2452,191,494,900,65,0
Jh 0s 0d 8c,0,9565,9938,2390,2038,0,1005,64,0
As Ks Kh 9s,0,9215,9538,2338,77,2731,1024,77,0
Kc 0c 7s 7c,0,9113,9539,2433,308,2607,924,72,4
Kc 0c 7c 4h,6103,11276,3832,673,472,2519,113,8,4
Kc 0c 5h 4c,5967,11282,3849,699,464,2607,121,8,3
As Ah Kh Qd,0,10306,10041,2430,956,229,962,76,0
As Ah Kh 0d,0,10136,10115,2502,1045,230,907,65,0
Qh 0c 7c 4c,6125,11149,3818,698,478,2600,116,5,11
Kc 7c 4c 3h,5924,10881,3760,702,973,2647,109,2,2
Kc 8s 7c 6s,5704,11295,3926,681,2764,498,124,7,1
As 0h 0d 8c,0,10705,10383,2516,382,0,950,64,0
Jh 0d 8c 2c,6356,11743,3864,739,1942,246,101,9,0
As Jh 0d 9h,5953,11243,3940,711,2784,229,129,4,7
Ks Qs Js 9s,2196,5041,2516,439,2798,10277,107,9,1617
As Ks Kh 9d,0,10897,10199,2495,105,281,944,77,2
Jh 8s 7c 6s,5896,11549,3795,743,2663,206,139,4,5
As Ks Js 4d,5972,10755,3808,742,986,2552,109,5,71
As Ks Qs 2c,5993,10908,3684,675,926,2622,124,9,59
As Js Jh 0d,0,10113,10019,2409,1194,245,942,77,1
As Kc 0d 8c,6763,12084,3942,739,1093,249,124,6,0
Ah Ks Kh 2d,0,10673,10396,2468,179,235,970,79,0
As Ks Js 8d,5975,10894,3714,642,970,2637,107,4,57
Jh 0d 8c 7h,4921,9580,3496,614,5998,261,123,6,1
As Qs Js 7d,5982,10795,3784,704,913,2601,124,10,87
