Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
Jh 0d 8c 4d,6346,11615,3980,691,2024,236,107,1,0
As 0d 8c 5h,7182,12569,3839,742,548,0,110,10,0
As Ks Kh 3c,0,10570,10511,2483,195,227,950,62,2
As Ks Js 4c,6045,10789,3689,749,949,2579,125,9,66
As 0d 0c 8c,0,10532,10269,2520,393,248,962,72,4
Kc 0c 4c 3s,6317,11189,3719,667,385,2611,105,4,3
Kc Jd 0c 4c,5558,10590,3748,748,1684,2559,98,8,7
As Ah Ks 7h,0,10677,10307,2505,79,474,878,79,1
8s 8c 7c 6d,0,8938,9689,2270,2745,240,1045,69,4
Jh 0d 8c 3h,6297,11744,3889,746,1975,227,115,7,0
Kc 7c 4c 2s,6334,11217,3805,650,247,2622,114,7,4
8s 8h 8c 7c,0,0,0,16365,360,219,6498,1550,8
Ah Ks Kh 4h,0,9128,9592,2321,172,2699,1014,74,0
Jh 0s 0d 8c,0,9687,9866,2324,2018,0,1025,80,0
Kc 0s 0c 4c,0,9291,9581,2312,156,2658,930,70,2
As Ks Kh 4d,0,10636,10382,2528,167,257,960,68,2
8s 8c 6s 6d,0,0,18594,781,266,264,4968,120,7
As Ks Kh Jc,0,10159,10163,2381,1018,235,983,61,0
As Ks Qs 6s,3063,6450,2736,497,457,11593,128,10,66
As Ks Kh 8s,0,9394,9524,2336,93,2610,962,80,1
Kc 7c 5c 4c,2708,6238,2638,518,902,11762,102,6,126
8s 7c 6s 6h,0,8958,9707,2283,2641,247,1076,79,9
As 8s 8c 6s,0,9035,9704,2298,268,2626,987,81,1
As Qs Js 8d,5588,10526,3775,680,1688,2542,130,5,66
Kc 7c 4c 3c,2912,6354,2786,512,525,11710,116,8,77
As Ah Kh Qs,0,10102,10141,2361,936,488,901,70,1
8c 7c 6s 5c,2720,6592,2937,552,9427,2519,108,10,135
As Ks Qs 9c,6015,10918,3686,727,890,2586,112,8,58
As Ah Kh Kd,0,0,18713,2819,76,239,3016,134,3
As Qs Js 0d,3901,8338,3346,631,5963,2628,115,3,75
Kc 0c 7c 6d,5623,11019,3664,681,1199,2666,135,10,3
As Ks Kh Qs,0,8686,9511,2237,902,2559,956,78,71
As Ks Kh Jd,0,10192,10073,2420,1046,245,958,64,2
8c 7c 6s 2d,5862,11410,3906,713,2773,224,98,8,6
0s 8s 8c 6s,0,8618,9403,2206,1004,2567,1069,72,61
8s 8c 7c 5s,0,9249,9889,2252,1950,478,1113,62,7
Kc Jh 0c 4c,5460,10668,3796,650,1637,2661,119,5,4
9c 8s 7c 6s,3211,7127,3034,549,10501,450,114,6,8
As Ks Qs Jh,4432,8820,3327,611,5057,2543,126,5,79
As Ks Qs 7d,6016,10920,3729,690,881,2549,139,11,65
As Qh Jh 8c,6371,11708,3959,711,1857,269,116,6,3
Kc 8c 7c 4c,2932,6479,2787,525,549,11558,105,8,57
Ks Qs Js 5s,2722,6141,2722,533,895,11727,126,9,125
As Qc Jh 0d,4578,9363,3509,668,6757,0,115,10,0
Ks Kc 0c 4c,0,9127,9665,2296,163,2710,956,77,6
Ah Ks Kh 7s,0,10682,10179,2528,96,500,939,74,2
As Kd 0d 8c,6889,12054,3831,706,1140,226,144,7,3
Kc Js 0c 7c,5126,10350,3702,709,2397,2593,104,13,6
Ks Qs Qc Js,0,8350,9077,2288,1614,2501,967,64,139
As 0d 8c 6c,6738,12025,3851,701,1306,254,115,5,5
Qc Jh 0d 8c,4524,9213,3487,654,6761,243,114,4,0
As Ks Qs Jc,4437,8639,3338,614,5109,2658,123,5,77
As Jh 8c 3s,7357,12290,3890,745,370,248,98,2,0
As Ah Kh 0h,0,8664,9498,2319,834,2644,897,79,65
Ad 8s 7c 6s,5900,11316,3917,732,2779,216,132,5,3
As Ks Js 3d,6048,10902,3724,703,906,2534,109,6,68
Ks Qs Js 2c,5662,10455,3756,728,1644,2508,120,4,123
Qh 8s 7c 6s,5852,11393,3821,707,2856,241,126,2,2
0c 8s 7c 6s,4430,9298,3404,635,6632,470,121,3,7
As Ah Kh 6s,0,10718,10313,2473,84,466,874,71,1
As Ah 0d 8c,0,10570,10572,2554,380,0,853,71,0
As Ah Ks 2c,0,10702,10351,2534,184,252,922,50,5
As Kh 0d 8c,6903,12276,3845,738,1106,0,129,3,0
As Qs Qh Js,0,8595,9469,2324,925,2575,985,63,64
As Ah Ks 4h,0,10557,10213,2511,183,526,922,87,1
As Qs Js 6h,5871,11008,3798,704,934,2521,100,9,55
As Js 0d 8c,5997,11360,3763,735,2795,225,119,3,3
As Jh 8c 4c,7159,12406,3869,743,439,257,121,5,1
As Ah Ks Qd,0,10228,10188,2452,979,217,874,60,2
As Jh 0d 3c,6908,12111,3899,738,1223,0,118,3,0
As Jh 8c 7c,6811,11927,3923,736,1242,215,134,10,2
Ah Ks Kh 5h,0,9105,9632,2377,145,2718,950,73,0
8s 8c 7c 4d,0,9974,10211,2283,1143,240,1077,71,1
As Ah Kh 7c,0,10846,10334,2537,82,228,898,74,1
As Jh 0d 9c,5890,11545,3975,698,2758,0,127,7,0
Ks Qs Js Jd,0,8099,9474,2188,1530,2587,901,67,154
Js Jh 0d 8c,0,9663,9933,2333,2043,0,951,77,0
8s 8c 6s 2c,0,10398,10189,2413,373,510,1049,65,3
0c 7h 7c 4c,0,8918,9674,2299,302,2691,1053,56,7
0s 8s 7c 6s,3862,8476,3312,645,5921,2583,114,9,78
As Ks Qs 7h,5994,10865,3769,713,849,2621,117,7,65
Kc 8s 8c 6s,0,10467,10417,2417,247,421,956,67,8
Kd 8c 7c 6s,5885,11353,3883,727,2782,247,113,7,3
As Ah Kh 9h,0,9379,9626,2369,75,2616,868,65,2
As Ks Kh Js,0,8757,9503,2235,838,2562,975,69,61
As Qs Js 8s,2687,6125,2734,534,870,11768,120,3,159
As Kh Qs Js,4289,8892,3346,606,5039,2604,136,8,80
8c 7c 6s 2c,5148,10126,3800,651,2537,2611,116,2,9
0s 8c 7c 6s,4519,9237,3468,634,6520,490,114,9,9
As Ks Js 8c,5944,10827,3764,714,949,2612,105,6,79
As Ah Kh Jd,0,10189,10161,2476,1016,222,874,60,2
As Ks Jh 8c,6850,12052,3884,755,1098,243,107,10,1
As Ks Kh 5s,0,9194,9520,2406,170,2659,986,63,2
Ah Ks Kh 2s,0,10625,10276,2416,184,487,939,70,3
8s 8c 7c 4h,0,9953,10069,2392,1216,221,1066,78,5
Kc 7c 4c 3h,5905,11012,3803,691,907,2567,104,7,4
8s 8c 7c 6c,0,7669,9020,2032,2487,2398,1128,71,195
Ks Qs Js 7c,5601,10633,3704,669,1654,2474,114,9,142
Kc 7c 4c 2c,3105,6515,2826,511,111,11823,105,3,1
8s 7d 7c 6s,0,9098,9664,2192,2706,213,1057,67,3
0s 0c 7c 4c,0,9048,9648,2322,292,2614,994,75,7
Ah Ks Kh 0c,0,10171,10263,2326,970,252,958,58,2
As Ah Ks Qs,0,8727,9426,2331,902,2609,874,64,67
As Kc 7c 4c,6107,11285,3809,718,294,2666,115,4,2
As Jh 0d 0c,0,10257,10167,2380,1208,0,920,68,0
Jc 8c 7c 6s,5057,10339,3858,713,2264,2587,111,5,66
As Ah Ac Ks,0,0,0,15117,83,203,8080,1516,1
Kc 0c 7s 7c,0,9113,9431,2383,327,2697,968,77,4
As Ks Js Jc,0,8632,9485,2274,829,2672,972,74,62
Ks Qs Js 9h,4402,8727,3387,611,5156,2473,123,4,117
9d 8s 7c 6s,3240,7180,3126,569,10509,242,121,6,7
Ah Ks Kh 7d,0,10917,10294,2440,95,224,954,74,2
As Jh 0d 2h,6704,12055,3918,730,1248,221,120,4,0
As Ks Kh 2c,0,10638,10499,2467,181,203,939,71,2
As Ah Kh Qd,0,10301,9973,2548,984,254,867,71,2
As Ks Kh 6c,0,10910,10283,2439,94,229,963,79,3
8s 8c 6s 4h,0,10042,10114,2322,1175,240,1035,66,6
As Qs Js 8h,5437,10537,3882,695,1657,2610,108,7,67
As Ad Ks Kh,0,0,18762,2809,104,243,2953,125,4
Kc 0c 6s 4c,6091,11220,3703,704,442,2705,125,7,3
Ks Qs Js 4d,5435,10766,3746,695,1632,2465,119,6,136
Kc 9s 7c 4c,6083,11331,3691,701,413,2654,120,3,4
Kh Jh 0d 8c,6033,11263,3974,706,2645,256,116,5,2
As 0c 7c 4c,6100,11251,3810,665,464,2566,132,6,6
As Ks Js 4s,2913,6383,2818,508,479,11722,107,6,64
Ks Qs Qd Js,0,8149,9253,2257,1620,2537,988,63,133
Qs 8c 7c 6s,5741,11266,3966,740,2671,477,129,7,3
Kc 0c 7c 4c,3053,6589,2721,523,219,11770,111,6,8
As Qs Js 2h,5813,10988,3743,654,1034,2566,132,6,64
8s 7c 6s 5d,3218,7248,3107,566,10469,251,132,5,4
As 0d 8c 5c,7128,12374,3847,701,586,239,114,5,6
9c 8s 8c 6s,0,9274,9922,2295,1924,491,1016,66,12
Kc 0d 0c 7c,0,9009,9619,2346,295,2683,966,77,5
As Ks Js 0s,2167,5033,2388,459,2954,10289,119,4,1587
Kc Jd 0c 7c,5069,10206,3763,699,2446,2700,101,7,9
Ah Ks Kh Qs,0,9887,10095,2467,1015,472,986,74,4
As Jh 8c 6d,7303,12409,3927,713,531,0,108,9,0
8c 7h 7c 6s,0,8881,9694,2245,2781,251,1062,77,9
0d 8s 7c 6s,4516,9303,3479,634,6707,247,103,4,7
As 8c 7c 6s,5824,11217,3873,751,2752,475,98,5,5
As Ks Qs Js,2275,5138,2402,473,2786,10229,128,5,1564
Jh 0d 8c 4c,6322,11617,3901,717,2085,221,126,9,2
As Jh 8c 4d,7356,12456,3863,756,460,0,107,2,0
As Ah Kh 8s,0,10577,10247,2639,101,476,886,68,6
As Ah Ks 3d,0,10744,10362,2481,178,225,932,77,1
0c 7c 4s 4c,0,9077,9581,2289,324,2641,1033,48,7
As Qs Js 9c,5509,10554,3802,719,1661,2581,113,4,57
8s 7c 6s 6c,0,8897,9603,2161,2717,477,1061,76,8
As Ah Ks 3c,0,10876,10131,2566,183,243,917,81,3
As Ah Kh 4h,0,9211,9586,2394,146,2674,918,67,4
As Ah Kh 3d,0,10655,10423,2498,162,228,959,73,2
Jh 0d 8c 4h,6338,11663,3843,740,2104,204,103,5,0
As Ah Kh Qh,0,8680,9452,2395,911,2518,907,64,73
Ac Ks Qs Js,4402,8795,3323,567,5133,2537,118,2,123
0h 0c 7c 4c,0,9076,9713,2240,293,2602,1004,70,2
As Qs Js Jc,0,8703,9432,2228,972,2581,952,61,71
Jh 0d 8d 8c,0,9445,9894,2345,2002,248,994,68,4
As Ks Kd Qs,0,8717,9489,2291,833,2588,952,74,56
Kc 0c 9c 7c,2489,6004,2761,525,1293,11586,124,4,214
As Ks Qs 9s,3030,6394,2631,520,472,11765,105,5,78
Ah Ad Ks Kh,0,0,18828,2702,83,241,3009,136,1
As 0d 8c 7c,6276,11843,3737,736,2020,250,130,2,6
As Jh 0d 5c,6912,12004,3932,717,1312,0,117,6,0
Qh 0c 7c 4c,6099,11109,3808,695,490,2676,113,6,4
As Ks Qc Js,4306,8807,3315,619,5120,2648,105,5,75
Ah Ks Kh Qc,0,10243,10092,2407,1010,245,928,74,1
8s 8c 6s 3h,0,10527,10325,2444,354,268,1000,76,6
As Js Jh 8c,0,10576,10305,2590,276,221,952,78,2
Jh 0d 8c 5d,6258,11738,3819,710,2126,222,122,5,0
8s 8c 6s 2s,0,8993,9646,2279,289,2658,1058,74,3
As Jh 0d 6s,6894,12058,3802,731,1181,216,110,8,0
Ah Ks Kh Jh,0,8831,9464,2277,848,2534,923,52,71
Ah Ks Kh Js,0,9938,10113,2421,958,482,999,84,5
As 0d 8c 2s,7159,12379,3888,701,476,262,131,4,0
Kc Qh 0c 7c,5481,10652,3717,697,1776,2555,110,4,8
0d 8c 7c 6s,4503,9428,3547,626,6547,229,111,4,5
Ks Qs Js 2h,5497,10656,3805,663,1616,2503,115,6,139
As Ks Qs 5s,2943,6343,2763,512,494,11746,111,14,74
As Ah Ks Jd,0,10239,10083,2508,957,241,896,73,3
As 8s 8c 7c,0,10496,10249,2359,373,489,957,73,4
As Jh 0c 8c,6021,11321,3829,678,2792,219,124,12,4
As Ac Ks Qs,0,8866,9389,2224,881,2597,931,51,61
As Jh Jd 8c,0,10836,10495,2395,264,0,930,80,0
Ks Qs Js 6s,2721,6134,2753,514,884,11733,116,6,139
Kc 7c 6h 4c,5443,10733,3767,689,1620,2624,121,1,2
As Qc 0d 8c,6462,11630,3772,735,2025,241,128,6,1
As 0d 8c 5s,7048,12415,3954,685,505,269,118,6,0
As Ks Qs 8d,5927,11066,3757,670,922,2483,112,5,58
As Qs Js 7c,5908,11025,3745,697,894,2558,118,2,53
As Ah Kh 7h,0,9358,9612,2402,84,2590,890,62,2
As Ah Ks Js,0,8779,9405,2377,863,2586,886,60,44
0c 7c 4c 2s,6213,11073,3803,681,424,2665,128,4,9
Qc 8s 8c 6s,0,10405,10231,2449,333,498,1020,59,5
As Ks Qs 5c,5901,10855,3769,647,956,2666,127,5,74
Ah Ks Kh 8d,0,10872,10318,2508,84,211,943,64,0
As Jh 8c 6s,7165,12386,3916,728,457,209,133,6,0
8s 7c 6s 4s,3948,8357,3347,659,5918,2575,121,3,72
Kc 0c 7c 6h,5586,11016,3705,726,1226,2613,114,7,7
Kc 0c 7c 6s,5698,10848,3713,698,1204,2702,123,5,9
8s 8c 6s 3d,0,10669,10170,2389,369,209,1115,74,5
As Ks Js 6d,6013,10820,3764,645,876,2699,117,5,61
As 0d 8c 4h,7200,12506,3898,731,530,0,128,7,0
Ad Jh 0d 8c,5835,11349,3938,751,2760,245,118,3,1
Ks Qs Js 4s,2712,6167,2663,507,840,11885,108,2,116
8s 8c 7c 5h,0,9593,9845,2230,1974,253,1026,69,10
Jh 0d 8c 7h,4911,9568,3487,691,5975,261,104,1,2
As Jh 8c 2h,7245,12485,3829,672,388,257,122,2,0
0c 7c 6d 4c,4985,10231,3761,739,2353,2780,137,7,7
As Ah Ks 5s,0,9172,9680,2425,164,2603,898,58,0
0h 8s 7c 6s,4563,9204,3537,632,6700,233,119,11,1
As Ah Kh Jc,0,10098,10115,2521,986,245,980,55,0
Kc 0c 5c 4c,2977,6515,2726,546,200,11904,125,1,6
8s 7c 6s 4d,4635,9224,3457,659,6645,267,107,4,2
As Jh 0d 7c,6343,11841,3900,734,2050,0,128,4,0
As Ks Js Jh,0,8747,9378,2359,797,2656,947,54,62
As Ks Js 9d,5977,10986,3777,680,902,2494,117,10,57
Qs Jh 0d 8c,4666,9329,3481,650,6758,0,113,3,0
Kc 0c 8h 7c,5378,10707,3766,687,1711,2619,114,10,8
As Qs Js 6d,5921,10935,3711,695,964,2573,119,8,74
As Jh 8c 4s,7157,12486,3847,685,465,246,109,4,1
Kc 0d 0c 4c,0,9163,9676,2279,152,2636,1029,62,3
As Jh 9s 8c,6341,11654,3878,752,1994,258,114,9,0
Kh 8s 7c 6s,5963,11348,3794,744,2788,235,119,5,4
8c 7c 6s 6h,0,8861,9703,2224,2806,215,1111,72,8
Kc Jc 0c 4c,2840,6301,2764,514,883,11432,131,7,128
8s 7c 6s 5s,2763,6514,2864,538,9502,2547,117,12,143
As Ks Kh Qc,0,10301,10184,2326,970,215,930,73,1
8s 8c 6s 6h,0,0,18521,812,262,223,5046,133,3
Kc 0h 0c 4c,0,9242,9557,2298,161,2696,981,62,3
As 0d 8c 3s,7236,12309,3902,758,484,199,103,6,3
As Ah Kh 6d,0,10874,10249,2497,99,268,944,68,1
As Qs Js Jd,0,8843,9423,2271,908,2473,947,65,70
As Ks Js 2h,5950,10884,3766,675,961,2577,118,7,62
Kc 0c 8s 4c,6226,11175,3718,695,423,2656,102,3,2
Kc Js 7c 4c,6119,11249,3718,695,384,2689,136,6,4
Kc Qc 7c 4c,3029,6646,2752,537,161,11733,137,3,2
Kc 0c 5s 4c,5961,11442,3753,687,455,2575,117,9,1
Kc 0c 7d 4c,6054,11346,3644,677,455,2702,111,7,4
8s 8c 7c 3c,0,9080,9550,2316,311,2619,1053,66,5
As Jh 0d 4c,6842,12202,3867,693,1271,0,117,8,0
As Ks Kh 9d,0,11052,10266,2375,82,221,932,71,1
As Ks Kh 2h,0,10604,10334,2405,167,468,955,66,1
Kc 0c 7c 4h,6061,11091,3919,734,450,2617,121,3,4
As Jh 0d 8c,5923,11461,3862,744,2872,0,133,5,0
0c 7c 4h 4c,0,9215,9589,2225,297,2551,1045,75,3
Ah 8c 7c 6s,5951,11240,3970,692,2826,195,114,7,5
Ah Ks Kh Kd,0,0,0,19011,95,267,4053,1574,0
Kh 8s 8c 7c,0,10706,10313,2408,354,237,918,62,2
8s 8h 7c 6s,0,8859,9716,2215,2857,222,1061,65,5
8s 8c 7c 3s,0,10406,10132,2408,369,514,1093,71,7
As Jd 0d 8c,5892,11372,3873,716,2805,224,106,9,3
8c 7c 6s 5h,3059,7264,3028,588,10730,204,106,7,14
As Ks Js 6h,6050,10906,3764,693,887,2515,114,7,64
As 0d 8c 7h,6334,11859,3946,718,2013,0,123,7,0
As Qh 0d 8c,6477,11881,3901,706,1906,0,123,6,0
As Kd Jh 0d,4974,9639,3513,654,5854,219,138,6,3
9d 8s 8c 7c,0,8997,9691,2271,2696,237,1028,73,7
As Qs Js 0c,3939,8411,3419,568,5922,2560,108,7,66
As Ks Qs 0d,4307,8828,3430,603,5123,2521,117,2,69
Kc 7c 4c 2d,6356,11164,3695,736,250,2682,109,7,1
As Qh Jh 0d,4571,9242,3533,631,6657,246,112,5,3
As Ah Ks 2s,0,9297,9532,2458,152,2576,928,55,2
Ah Ks Kh 2c,0,10807,10312,2438,170,246,958,69,0
As Ks Kh 9s,0,9242,9615,2311,81,2729,954,66,2
0c 7c 5d 4c,5373,10691,3755,670,1710,2669,113,12,7
Ks Kd Qs Js,0,8098,9358,2296,1595,2499,951,79,124
As Ks Kh 8h,0,10678,10314,2422,101,474,929,79,3
Kc 0c 7c 2h,6343,11192,3707,714,274,2632,125,5,8
As Ks Js Jd,0,8752,9555,2162,860,2616,930,76,49
Ks Qs Js 6d,5558,10621,3702,697,1654,2528,119,3,118
0c 7c 5s 4c,5400,10636,3860,668,1748,2559,123,1,5
As Ah Kh Js,0,10005,10063,2519,943,477,930,62,1
As Ks Qs 7c,5989,10924,3823,681,861,2537,113,5,67
As Ah Ks 9h,0,10597,10351,2563,87,445,883,71,3
0d 8s 8c 7c,0,9340,9953,2404,1966,246,1009,76,6
Kc 0s 7c 4c,6213,11134,3777,697,464,2588,122,2,3
Kc Qs 0c 7c,5541,10574,3607,644,1760,2736,128,4,6
0c 7c 4d 4c,0,9071,9594,2296,275,2678,1019,65,2
As Ks Kh 4h,0,10391,10399,2504,160,508,974,62,2
8c 7c 6s 5s,3108,7243,3042,582,10397,491,113,7,17
0c 9s 7c 4c,5334,10618,3713,646,1821,2727,128,9,4
As Ah Ks Qh,0,10106,10069,2453,934,464,922,51,1
Kc 0c 9c 4c,2897,6353,2734,512,531,11780,109,4,80
As Ks Js 6s,2957,6333,2692,500,450,11887,100,10,71
Ah Ks Kh 3h,0,9128,9690,2312,163,2626,1005,72,4
8d 8c 7c 6s,0,8970,9645,2229,2792,226,1058,72,8
Kd 0c 7c 4c,6156,11316,3592,717,473,2601,131,8,6
Kc 0c 7c 4d,6134,11195,3735,754,466,2579,122,8,7
