Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
Kc Jc 0c 7c,2487,5911,2811,549,1346,11582,125,8,181
Kc 0c 9d 7c,5161,10344,3736,704,2341,2594,107,7,6
0c 8c 7c 6s,3927,8563,3282,666,5787,2543,108,5,119
As Ah Ks 5h,0,10554,10352,2495,181,463,885,64,6
As Ah Kh 5d,0,10738,10330,2561,171,239,908,52,1
As Jh 0d 6c,7052,12074,3882,726,1144,0,115,7,0
Kh 8c 7c 6s,5863,11342,3973,680,2768,251,111,8,4
As Jh 0d 2d,6688,12048,3930,739,1248,233,108,6,0
Kc 0c 8s 7c,5312,10754,3761,670,1807,2575,109,8,4
As Ah Kh 0s,0,10039,10102,2455,928,476,918,79,3
As Qs Js 4c,5891,10847,3768,684,996,2644,110,6,54
8c 7c 6s 4c,3961,8273,3456,659,5865,2591,119,6,70
As Ah Kh 9d,0,10810,10364,2501,90,236,928,68,3
Kc Qs 0c 4c,5509,10663,3761,651,1632,2659,119,6,0
0c 7c 4c 3h,5771,10758,3885,681,1099,2652,131,12,11
Ks Qs Js 4c,5678,10486,3687,696,1654,2561,111,7,120
As 0d 8s 8c,0,10489,10453,2468,368,225,928,69,0
Ks 8s 7c 6s,5081,10383,3650,728,2398,2635,117,6,2
Kc Js 0c 4c,5382,10688,3718,666,1717,2702,115,6,6
8s 8c 7d 7c,0,0,18432,787,382,210,5032,145,12
8s 8h 8c 6s,0,0,0,16487,269,254,6426,1558,6
As Ad Jh 8c,0,10898,10330,2509,261,0,920,82,0
As Ks Qs 3c,5880,10970,3733,722,979,2538,120,1,57
As Ah Ks 6s,0,9299,9639,2382,88,2593,919,79,1
Ah Ks Kh 5s,0,10512,10259,2499,177,499,990,63,1
Jh 0d 8c 3d,6366,11826,3807,724,1918,227,124,8,0
Ks Qs Js 9s,2212,5023,2435,463,2858,10364,119,6,1520
Qs 8s 7c 6s,5016,10347,3759,685,2480,2590,115,3,5
9c 8s 8c 7c,0,7675,9024,2144,2399,2469,1020,69,200
As Ks Qs 2s,2964,6409,2625,532,474,11815,106,6,69
Ah Ks Kh 7c,0,10771,10425,2462,91,241,938,70,2
Jh 0d 8c 6c,6192,11710,3889,731,2107,234,128,3,6
As Ah Kh 2s,0,10470,10331,2529,182,476,930,80,2
8s 7c 6s 3s,5119,10243,3811,671,2403,2641,103,6,3
Ah Ks Kh 8s,0,10675,10248,2516,101,466,924,68,2
As Jh 0h 8c,5957,11349,3834,747,2747,236,113,12,5
As 0d 8c 6d,6703,12067,3932,694,1229,241,129,5,0
Ah Kc 0c 7c,5864,10921,3729,730,1005,2630,111,6,4
Qd 0c 7c 4c,6049,11329,3744,679,437,2628,119,10,5
As Jh 8c 6c,7256,12381,3887,721,409,224,112,4,6
Kc Qd 7c 4c,6246,11241,3821,671,303,2577,124,9,8
Ks Qs Js 4h,5675,10566,3718,693,1622,2451,124,9,142
0c 7c 4c 2c,3122,6617,2694,493,191,11738,138,5,2
As Qs Jh 0d,4538,9301,3529,695,6576,231,128,1,1
As Ah Ks 4d,0,10556,10448,2575,183,262,908,67,1
0c 7c 6s 4c,5057,10235,3751,724,2475,2631,121,5,1
Kd Kc 7c 4c,0,9109,9789,2299,151,2611,975,63,3
0c 8s 8c 6s,0,9885,9999,2407,1127,469,1035,74,4
As Kc Jh 0d,5141,9718,3547,687,5774,0,129,4,0
Jd 8c 7c 6s,5852,11357,3974,697,2754,259,100,4,3
As Kc 0c 4c,6001,10930,3724,690,915,2611,119,7,3
As Qs Js 7s,3022,6386,2704,535,528,11631,118,9,67
Ac Kc 0c 4c,3010,6369,2776,561,457,11625,134,7,61
As Qs Js 8c,5500,10811,3706,665,1588,2539,116,6,69
8s 8c 6s 4d,0,10045,10071,2381,1173,224,1040,64,2
Ks Qs Js 9d,4406,8692,3338,583,5259,2470,126,4,122
8s 8c 6s 3c,0,10357,10348,2301,328,500,1091,70,5
As Ks Js 4h,5954,10968,3713,676,930,2562,119,7,71
As Ks Qs 8h,6076,10896,3728,634,875,2575,135,7,74
As Jh 0d 7h,6465,11587,3815,748,2015,235,128,6,1
Ks Qs Js 8c,5496,10622,3762,674,1603,2581,118,8,136
Ah Kc 7c 4c,6281,11273,3718,700,336,2570,114,6,2
As Ks Kh Qh,0,10091,10023,2417,978,460,951,78,2
8s 8c 7h 7c,0,0,18419,782,381,228,5044,136,10
As Qs Jh 8c,6425,11764,3851,707,1894,225,125,7,2
8s 8c 7c 3d,0,10543,10362,2422,398,237,963,72,3
Jh Jc 0d 8c,0,9500,9914,2320,1947,244,995,77,3
As Jh 0d 8d,5875,11461,3849,724,2783,211,89,3,5
Kc 7c 5h 4c,5367,10659,3847,668,1729,2618,103,6,3
Kc 7d 7c 4c,0,9302,9520,2296,163,2633,1013,71,2
Ah Jh 0d 8c,6023,11272,3874,717,2748,245,111,8,2
8s 8c 6s 5s,0,8001,9364,2187,1696,2520,1017,82,133
8s 8c 7c 6s,0,8869,9540,2293,2729,476,1014,62,17
As Qs Js 6s,2915,6358,2689,563,523,11776,118,2,56
Kc 0c 7c 4s,6207,11056,3692,668,483,2775,110,2,7
As Ah Ks Kh,0,0,18612,2703,79,459,3013,131,3
As Ah Ks 0d,0,10148,10310,2378,972,215,916,61,0
Ks Qs Js 7d,5624,10640,3670,671,1675,2461,131,4,124
Kc Qc 0c 7c,2745,6257,2688,495,918,11621,128,7,141
Jh 0d 8c 7s,5075,9596,3465,630,6108,0,121,5,0
Ah Ks Kh Jd,0,10158,10185,2502,944,229,921,60,1
Kc 0c 5d 4c,6091,11117,3762,706,500,2704,115,5,0
Kc 0c 4c 2d,6295,11261,3655,720,296,2665,95,11,2
Ah Ks Kh Qd,0,10161,10240,2392,911,241,979,75,1
9s 8s 8c 7c,0,8743,9728,2288,2694,436,1033,62,16
As Jc 0d 8c,5981,11278,3846,691,2830,259,106,6,3
As Kc Jh 8c,6958,11936,3924,765,1054,235,125,3,0
As Ks Js 5s,2917,6400,2747,542,504,11686,129,4,71
As Jh 0d 6d,6852,12025,3873,719,1183,215,123,7,3
As Ks Qs 7s,2953,6443,2695,519,465,11717,128,4,76
Kc Jh 7c 4c,6141,11369,3761,672,349,2573,127,5,3
As Ks Kc Js,0,8746,9427,2249,850,2615,970,81,62
Qc 8c 7c 6s,5126,10349,3674,654,2411,2643,127,7,9
As Jh 8c 2c,7202,12464,3935,708,320,246,117,8,0
As Jh 0d 9d,5755,11549,3902,685,2722,258,117,5,7
Qs 0c 7c 4c,6115,11332,3764,685,444,2518,130,3,9
As Ks Kh Kc,0,0,0,19066,98,251,3986,1595,4
9h 8s 8c 6s,0,9475,9921,2247,1975,229,1067,80,6
0h 8s 8c 7c,0,9381,9887,2343,1997,254,1052,77,9
As Jh 0d 4h,6689,12113,3851,756,1242,224,116,9,0
As Ks Qs 5h,5892,11022,3736,661,913,2577,110,4,85
As Ks Js 8d,5936,10858,3673,721,945,2672,128,4,63
As Ah Ks 0c,0,10263,10079,2479,952,243,917,66,1
8s 8c 7s 6s,0,7562,9102,2142,2456,2381,1089,78,190
Jh 0d 9h 8c,3138,7242,3071,599,10583,223,132,8,4
As Qs Js 5s,2939,6407,2714,503,553,11706,98,2,78
8s 8c 7d 6s,0,8845,9699,2296,2803,228,1057,71,1
As Ks Kh 3d,0,10707,10337,2511,187,225,972,60,1
Kc 7c 4s 4c,0,9222,9634,2353,137,2636,937,79,2
